EntrySeqNo CPFile File isSelected
15 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20015.tif 1
1 wing1000 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20001.tif 1
23 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20023.tif 1
2 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20002.tif 0
4 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20004.tif 0
18 wing1017 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20018.tif 0
24 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20024.tif 0
13 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20013.tif 0
9 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20009.tif 0
20 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20020.tif 0
10 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20010.tif 0
12 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\F\small\dscra4f_20012.tif 0
32 wing1006 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20032.tif 1
40 wing1014 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20040.tif 1
34 wing1008 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20034.tif 1
35 wing1009 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20035.tif 1
30 wing1004 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20030.tif 1
45 wing1019 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20045.tif 1
33 wing1007 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20033.tif 1
38 wing1012 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20038.tif 1
42 wing1016 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20042.tif 1
28 wing1002 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20028.tif 1
41 wing1015 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20041.tif 1
47 wing1021 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20047.tif 1
46 wing1020 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20046.tif 1
48 wing1022 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20048.tif 1
29 wing1003 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20029.tif 1
37 wing1011 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20037.tif 1
31 wing1005 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20031.tif 0
49 wing1023 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20049.tif 0
27 wing1001 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20027.tif 0
50 wing1024 D:\HoulesLab\projects\SDV\ds\CRA\Gen4\M\small\dscra4m_20050.tif 0
