,cmo.PC1,cmo.PC2,cmo.PC3
y31.1,-0.153435953609342,0.127514502655406,0.111176951175081
x32.1,-0.0968418341808732,-0.1073981215237,0.00331452858660904
y32.1,-0.0865182469774347,0.0626564000954801,0.0882335014755541
x33.1,-0.101222598326065,-0.0147328494309811,0.0403150218791462
y33.1,-0.0335649195259596,0.0167081840758566,0.0585881087599908
x34.1,0.0459875782173448,0.0100156860468812,-0.140532197999729
y34.1,-0.0524748218978702,0.0360951332278053,-0.00337206755153793
x35.1,0.00383187264569998,0.0187445808657885,-0.102152158017863
y35.1,-0.0710080140137024,0.0283633863715043,0.00561134672610129
x36.1,-0.0648830206602873,0.0274145581283135,-0.0401927367230419
y36.1,-0.00356942316536678,0.0488036535066294,0.0134049206708324
x37.1,-0.0917482980509444,0.0969980275158549,0.027930531022612
y37.1,0.0325456239550513,0.0102778517595988,0.0242283080385381
x38.1,0.108863368567069,0.0878368584554854,-0.133562079405073
y38.1,0.0203107245828094,-0.049470369308403,-0.00840177971593225
x39.1,0.068549119795011,0.0883846747296045,-0.109185874783048
y39.1,0.0140900361528217,-0.0299030159948173,-0.00674764572622448
x40.1,0.0226616423420731,0.0903770283677628,-0.0811143743055646
y40.1,0.0214437165785341,-0.00797341792893376,-0.00872377145370434
x41.1,-0.02683188783888,0.0943098942880098,-0.0398407554637724
y41.1,0.0203469686562079,0.00388194996980101,-0.00497623441532928
x42.1,-0.0887593208467466,0.0990564569680548,0.0122726434410614
y42.1,0.0580888628378195,0.00869424034190301,-0.0058903159243971
x43.1,0.192508048222581,-0.16664090605315,0.389759186967894
y43.1,0.106560537190644,-0.0826794046475123,-0.0466753634959071
x44.1,0.133193400780539,-0.107902196094735,0.305842876131167
y44.1,0.0891966757875829,-0.0408194977338772,-0.0728935295647241
x45.1,0.0655925612105309,-0.0404170346467657,0.208556537723625
y45.1,0.0769229507124862,-0.00625058455491207,-0.0878755085758113
x46.1,-0.000294976038743354,0.0229516261915971,0.120357140938509
y46.1,0.0766027063707678,0.000733140378032688,-0.0697472492594496
x47.1,-0.0484719472406675,0.106847476395021,0.0369952433070327
y47.1,0.165024904267448,0.0199270000096896,-0.0519212029265318
x48.1,-0.208840329167959,-0.352516394067355,-0.1705191388985
y48.1,-0.126920116904311,0.0194399863471019,0.0167436109110281
