,wild.PC1,wild.PC2,wild.PC3
y19,0.0491115621712646,-0.14559065413656,-0.104952066262631
x20,0.0817654336118927,0.0123982631725553,-0.000640766023393975
y20,0.046544426007726,-0.0996420945848117,-0.0475740615779971
x21,0.120798674272945,0.0498478569235815,0.038990413479024
y21,-0.0181676548838337,-0.0449504921801693,-0.0117349628834866
x22,0.0820510699740902,0.164460359572682,0.101434404761898
y22,-0.126353582946511,-0.0111671699423642,-0.0230572032151429
x23,0.0250158449161234,0.0886627085520996,-0.0297759383508334
y23,-0.168778994408608,-0.0829953482186434,-0.0644161096484253
x24,-0.0307113866791736,0.0510956254994324,-0.0941488536822205
y24,-0.183761748229932,-0.050479324686577,-0.010096399405168
x25,-0.0877699745560988,0.0381103337063698,-0.0987976592537616
y25,-0.145851564511756,0.0356792542211581,0.0682297152069793
x26,-0.123076865354001,0.0316771418494085,-0.102959217146738
y26,-0.107708355247749,0.0673234468490786,0.0780404958556332
x27,-0.120103233543197,0.0379701983062859,-0.0852064713128375
y27,-0.0596818823120905,0.0916073746010161,0.0838605959664859
x28,-0.0543890786837443,0.0702259582099789,-0.035176390057132
y28,-0.0103759519732391,0.106491137901528,0.0750548333319447
x29,-0.0210434798311524,0.0846751859294601,-0.0478188389130594
y29,0.0892824443051632,0.076598605462982,0.00628156903571799
x30,0.0844941506206137,0.013585811348394,-0.10856530051197
y30,0.073595164736867,0.143258679697623,0.0984622849388622
x31,-0.111989807811447,-0.128919377782988,0.222259518987741
y31,0.0946406144175748,-0.136069149373009,-0.169967551323449
x32,-0.0015849781790437,-0.111650978148476,0.108604170897056
y32,0.0647680874231736,-0.0751653046701514,-0.0926274739752932
x33,0.0292148485804128,-0.0918787220786955,0.00477861798639808
y33,0.0666543278994246,-0.00784098359688869,-0.0225424481530956
x34,0.0424587682746787,0.0386246913328363,0.112358075529403
y34,-0.0209110922301183,-0.0650829971129746,-0.0350144933514085
x35,0.0425740568169311,-0.0206803633801089,0.112044356044851
y35,-0.000570805975489032,-0.0781856159591943,-0.0324767414226856
x36,0.0761617899241643,-0.0741993573257262,0.0661059234842833
y36,0.058570021304576,0.0170794802070463,-0.0130159130273269
x37,0.0890827504285279,-0.0566629454111025,-0.0662086354352543
y37,0.0672138773578095,0.0659830727832317,0.0346340504319674
x38,0.0317472397287551,0.105403626475155,0.0493742964644487
y38,-0.100465164059768,-0.0226760156330821,0.0267532699331496
x39,0.0751324093932195,0.0767607432991316,0.0435321077871373
y39,-0.0686224430481375,-0.0168992792968234,0.00522698848184979
x40,0.129710810160212,0.0453887999651831,0.039192051479252
y40,-0.0348409568613416,0.00648661782136111,-0.00951560692494221
x41,0.119802242959926,-0.010379440207293,-0.0167054707752844
y41,0.00739571225173214,0.0255468994687907,-0.00508848344161899
x42,0.126001537586596,-0.060329350819238,-0.0705697700986281
y42,0.0599074045141823,0.0893338110502467,0.0361510130398213
x43,-0.295952501750389,0.0870494386498272,-0.189185846978905
y43,-0.149029338693938,0.0368598953081137,0.047644818892241
x44,-0.213898573092726,0.0570718050231271,-0.16904517927739
y44,-0.0856370427948589,0.0460567840949436,0.0579342955167229
x45,-0.105769772870524,0.0255586026971503,-0.138307054616806
y45,-0.0214360833659046,0.0636129428701887,0.06687325774921
x46,-0.0135311310317831,-0.0102673369366816,-0.117582510898438
y46,0.0296545580478596,0.0944708654363088,0.0785772385930259
x47,0.053037848876078,-0.0244350004326247,-0.126992284874327
y47,0.0449770481672125,0.197202823196698,0.091518838270385
x48,-0.0815218368798735,-0.284294946751262,0.3148716728029
y48,0.0610491001003092,-0.119736903384044,-0.0297676115874108
